name,weight/volume,calories,proteins,fats,carbohydrates,type,brand,manufacturer,article,composition,description,image_url,rating_score,price,category
Смесь сухая Gusto Di Roma для макарон в сливочно-сырном соусе,30г,200,2.0,0.5,48.0,Смесь для вторых блюд,Gusto di Roma,Тандер,1000387475,"Крахмал кукурузный, соль, мука пшеничная хлебопекарная высшего сорта, сахар, лук репчатый молотый, куркума молотая, глюкоза, чеснок молотый, масло подсолнечное рафинированное дезодорированное, регулятор кислотности лимонная кислота, зелень петрушки сушеная, комплексная пищевая добавка (соль, мальтодекстрин, сахар, молоко сухое обезжиренное, овощи сушеные (лук, чеснок), соевый белок, усилители вкуса и аромата Е621, Е635, ароматизаторы, сыр (сыр, мальтодекстрин, эмульгирующая соль, Е339ii), красители куркумин, экстракт паприки, агент антислеживающий диоксид кремния аморфный), перец черный молотый, мускатный орех",,https://images-foodtech.magnit.ru/RV_k2OcOb2yH3ZcsSvF5FJtRRLCBUFid07dnnJXC6Ng/rs:fit:1600:1600/plain/s3://img-dostavka/uf/639/639e80b1fafc61c3cc25b597b0f1091a/557fbc4b8d2da137fa920eb172c498d1.jpeg@webp,4.8,41.99,bakaleya_sousy
Соус Mivimex Жгучий чили Барбекю,200г,45,0.1,0.1,11.0,Соус,Mivimex,Биофуд,1000476333,"Вода, сахар, загуститель Е1422, соль, паста перцовая чили (вода, лук, паста томатная, пюре чесночное, концентрат лимонного сока, соус соевый, уксус спиртовой, сахар, перец чили молотый, паприка молотая, краситель - экстракт паприки, экстракт перца чили), чеснок свежий, паста томатная, экстракт красного перца, регулятор кислотности - кислота уксусная, загуститель - камедь ксантановая, усилители вкуса и аромата (глутамат натрия, Е627, Е631), ароматизаторы: «чеснок», «гриль маринад», красители (желтый «солнечный закат», понсо 4r), консерванты (бензоат натрия, сорбат калия), подсластитель - сукралоза","Пикантный соус чили с ароматом дымка — прекрасное дополнение к мясным и рыбным блюдам, гарнирам и салатам. Продукт со слегка густой консистенцией, насыщенным цветом, аппетитным запахом трав помещён в упаковку с удобным клапаном.",https://images-foodtech.magnit.ru/NIF10oA-R119TvzuIBGNN_smaVy7QysmB8LkABX0Tpo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/6da/6dae092ad2a163170daa83de8582594f/b4e2b69642fbb62b98e2a735dfd08748.jpeg@webp,4.8,62.99,bakaleya_sousy
Сахар Чайкофский кокосовый,200г,392,,,98.0,Сахар коричневый,Чайкофский,Русагро-Сахар,1000409978,Сахар,"Кокосовый сахар обладает насыщенным вкусом с лёгкими карамельными нотками. Его производят по специально разработанной технологии из сока, который получают из цветков кокосовой пальмы.",https://images-foodtech.magnit.ru/CzpY8Kt0cMxA63gKWl7m10-MHp3dTVmcHNE8IN6h_u4/rs:fit:1600:1600/plain/s3://img-dostavka/uf/5c5/5c5de0df0ae0a7e41bc287150b11d89f/d2f98eabc97faba99ce95f10d146c410.jpeg@webp,4.7,119.99,bakaleya_sousy
Лимонная кислота Магнит,80г,,,,,Лимонная кислота,Магнит,Тандер,1000209428,Лимонная кислота,,https://images-foodtech.magnit.ru/eQoDIUhl8uNIeYPRlfZOymFSB0On1DWIeX3c4C0v9nI/rs:fit:1600:1600/plain/s3://img-dostavka/uf/9ef/9ef51e988968737b06f5e5c5e82ea771/b7188c791072533a3da3bc9aa40d052f.png@webp,4.8,29.99,bakaleya_sousy
Смесь для курицы Магги сливочно-чесночный соус,26г,298,6.5,2.2,60.0,Смесь для приготовления,Maggi,Нестле,1000550981,"Овощи сушеные (чеснок, лук репчатый, томат), йодированная соль (соль, йодат калия), крахмал кукурузный, сахар, специи молотые и зелень сушеная (паприка, кориандр, укроп, куркума, пажитник, мята, кардамон, гвоздика), подсолнечное масло, регулятор кислотности (лимонная кислота)",,https://images-foodtech.magnit.ru/O2eidsdSEyssXb7wiBe4fCTcpgbzx6oJa30l_mGSJXg/rs:fit:1600:1600/plain/s3://img-dostavka/uf/867/867edc28b267af6df1a7398ccf6b2a89/38b2ea67a7561daab0ccc08f6af32362.png@webp,4.8,64.99,bakaleya_sousy
Приправа Индана Пряная смесь 5 перцев молотая,15г,290,9.0,4.0,56.0,Смесь перцев,Индана,Русская Бакалейная Компания,1000222327,"Перец черный, перец душистый, перец красный сладкий, перец белый, перец красный чили","Иимеет естественный глубокий аромат. В составе приправы нет других ингредиентов, кроме нескольких видов перца. Это красная сладкая паприка, жгучий перец чили, белый, черный и душистый перцы. Все они имеют противовоспалительные свойства, регулируют пищеварение, благоприятно действуют на кровеносную систему. Смесь перцев подходит для всех блюд. Ее можно добавлять в супы, уху, соусы, маринады, салаты. С перцами улучшится вкус мясных блюд, пельменей, бульонов, лазаньи. Аромат обусловлен наличием в перцах большого количества эфирных масел. Обед из блюд, приправленных смесью перцев, повышает настроение, заряжает организм энергией и бодростью.",https://images-foodtech.magnit.ru/ksGm7zpZ0rnDtkt6sGKd8RGcpuSF-1SaF5aVzwckiWw/rs:fit:1600:1600/plain/s3://img-dostavka/uf/6d1/6d1356d3c5a409b3c71868218f346af8/f0113db7cbef31d4b87ca7e29b27f500.jpeg@webp,4.8,57.99,bakaleya_sousy
Приправа Индана Куркума молотая,15г,325,12.7,13.8,58.2,Приправы и специи для выпечки,Индана,Русская Бакалейная Компания,1000247027,Куркума,"Куркума имеет ненавязчивый восточный аромат и пикантный, согревающий вкус. Душистая приправа придаёт блюдам золотистый оттенок.",https://images-foodtech.magnit.ru/oDUHlzBWRVinQX7p6UPIJ-p2viu0s_LOgPrzSf-nkgI/rs:fit:1600:1600/plain/s3://img-dostavka/uf/f14/f1407313f81b6bc00d626808ce695228/47fc394d95c1fe2f90408b527578a97f.jpeg@webp,4.8,34.99,bakaleya_sousy
Сухая смесь Maggi На второе для Нежного Филе куриной грудки по-итальянски 30.,6г,494,5.2,38.0,31.0,Смесь для вторых блюд,Maggi,Нестле,1000090903,"Сушеные овощи (томат, лук репчатый, чеснок, паприка), подсолнечное масло, топленый говяжий жир, йодированная соль (соль, йодат калия), зелень сушеная (петрушка, базилик, орегано, чабер), сахар, специи молотые (кориандр, перец черный, карри), крахмал кукурузный, регулятор кислотности (лимонная кислота). Продукт может содержать молоко, глютен (из злаков), сельдерей","Приправа в уникальном формате: пряная сухая смесь в итальянском стиле на основе томатов, ароматной зелени и специй плотным слоем нанесена на 4 листа бумаги для жарки. Отбитые кусочки куриного филе нужно всего лишь обернуть этой бумагой и обжарить на сковороде без масла.",https://images-foodtech.magnit.ru/a6zU45equyX8e3eAVzAuL19s2LMN05g169sfOUvgwek/rs:fit:1600:1600/plain/s3://img-dostavka/uf/e1b/e1ba6641b2c477f88ac9f1ee6f2a2745/cdf5502978c666a209c16dceded22aef.jpeg@webp,4.9,109.99,bakaleya_sousy
Сухая смесь Maggi На второе для макарон в сливочно-сырном соусе с курицей и грибами,30г,314,3.0,1.8,71.0,Смесь для вторых блюд,Maggi,Нестле,1000178154,"Сахар, мука пшеничная (содержит глютен), крахмал кукурузный, соль йодированная (соль, йодат калия), овощи сушеные (чеснок, лук репчатый), масло подсолнечное, куркума, регулятор кислотности (лимонная кислота), петрушка сушеная, укроп сушеный, мускатный орех. Продукт может содержать сельдерей, молоко","Смесь специй и трав для макарон с курицей и грибами в сливочно-сырном соусе. Натуральные овощи, куркума, мускатный орех и петрушка придают блюду насыщенный вкус и аромат. Помогает быстро приготовить пасту за 15 минут.",https://images-foodtech.magnit.ru/lZO9x8OUZ3cvnF6r9sW_HtWEBP60BZL1vDlQUAADbAM/rs:fit:1600:1600/plain/s3://img-dostavka/uf/53b/53bf1b7f075a12e5ddfd1439200c5b38/85a3cf4fc08463dd50a9852e4bf860e8.jpeg@webp,4.8,63.99,bakaleya_sousy
Каша Быстров Овсяная без варки Ассорти 6пак*,40г,349,9.7,5.4,67.0,Каша овсяная,Быстров,Нестле,2123200142,"Клубника без молока: хлопья овсяные из цельных злаков (77,2%) (содержат глютен (клейковину)), сахар, клубника (1,9%), соль, натуральный ароматизатор. Продукт может содержать орехи, арахис и кунжут. Персик без молока: хлопья овсяные из цельных злаков (79%) (содержат глютен (клейковину)), сахар, персик (1,5%), соль, натуральный ароматизатор. Продукт может содержать орехи, арахис и кунжут. Черника без молока: хлопья овсяные из цельных злаков (76,6%) (содержат глютен (клейковину)), сахар, черника (2%), соль, натуральный ароматизатор. Продукт может содержать орехи, арахис и кунжут","Овсяная каша с фруктовым ассорти — вкусный, сытный и полезный завтрак. В упаковке 6 пакетиков со вкусами клубники, черники и персика. Кашу достаточно залить кипятком и оставить на 5 минут. После приготовления хлопья становятся нежными, с насыщенным сладким ароматом.",https://images-foodtech.magnit.ru/HitKcIUsHvfYWz9A5UHSWUEUR4epE3O7F3LsIBX3SiY/rs:fit:1600:1600/plain/s3://img-dostavka/uf/8ff/8ffbca057a1a6eb763e6c79762cc615a/e13cd07bf4091b8dfd8aa5a8c08c23d9.jpeg@webp,4.8,184.99,bakaleya_sousy
Соль Щепотка Экстра пищевая,500г,,,,,Соль,Щепотка,ТДС,1000314977,"Соль пищевая, антислеживающий агент Е536 (массовая доля не более 0.001%)","Соль Экстра Щепотка 500г — источник полезных микро- и макроэлементов. Она содержит высокий процент хлористого натрия, отвечающего за правильную работу щитовидной железы, костного аппарата и состояние мышечной системы. В умеренных количества соль нормализует пищеварение, состояние кожи и зубной эмали, укрепляет стенки сосудов. Относительной нормой ее потребления считается до 5 г в сутки. В продукте не содержатся калории, поэтому его безопасно добавлять в различные блюда: супы, гарниры, мясо, рыбу. Он улучшает их вкусовые качества. Соль хранится до двух лет при температуре от -40 до 40°С вдали от прямых солнечных лучей. Она поставляется в картонной упаковке, удобной для переноски и использования.",https://images-foodtech.magnit.ru/QcBUhC41YLUWuvktdTrvAeCbGKJnQpdo5UhtaLdNMIw/rs:fit:1600:1600/plain/s3://img-dostavka/uf/a44/a44dfabb7793446aafb1b4f99dde71ff/0d3f85a31943fceff9b41306b94496c9.png@webp,4.8,38.19,bakaleya_sousy
Макароны Роллтон Лапша яичная,400г,340,11.0,2.0,70.0,Лапша яичная,Роллтон,Маревен Фуд,1000556931,"Мука пшеничная хлебопекарная высшего сорта, мука из твердых сортов пшеницы для макаронных изделий высшего сорта, вода питьевая, яичный порошок на предприятии используются сульфиты, горчица, кунжут, ракообразные, моллюски, молоко, рыба, соя и сельдерей","Яичная лапша отличается эластичностью, нежной текстурой и бархатистым вкусом. За счёт короткой плоской формы лапша идеально подходит для супов. Готовится всего 5-6 минут.",https://images-foodtech.magnit.ru/6XFPtltMUinOQbi_Fu6sV88Kc3U33xxdDaKe0clD_5Y/rs:fit:1600:1600/plain/s3://img-dostavka/uf/e51/e515fa5cd80f4ce3e130d347eecae8d8/2c342c62d88f40ee7e706944859723fd.png@webp,4.8,51.99,bakaleya_sousy
Лапша Imperial Cuisine гречневая Соба,400г,330,11.0,1.5,69.0,Лапша гречневая,Imperial Cuisine,Союзпищепром,1000572754,"Вода, мука гречневая, мука пшеничная хлебопекарная высшего сорта, вода, соль",,https://images-foodtech.magnit.ru/E1a0ecj5B4ZhFt2Zan3kV1mh5eKf1mOXyBEd36U0Vyc/rs:fit:1600:1600/plain/s3://img-dostavka/uf/35f/35fb5ebcdbe606f7b689f9af6154981e/0f18d8a60e1a77fcd6ac0e36ba1d8851.jpeg@webp,4.8,59.99,bakaleya_sousy
Рис Агро-альянс длиннозерный,900г,340,7.0,0.4,77.0,Рис,Агро-Альянс,Агро-Альянс,1000191853,Длиннозерный рис,"Рис Агро-Альянс длиннозерный 1 сорт — элитный высококачественный рис, который реализуется в упаковках по 900 г. Продукт легок в приготовлении. Он остается мягким, но при этом достаточно плотным и рассыпчатым. Уникальная технология обработки зерен позволяет сохранить все полезные вещества злака (витамины, клетчатку и некоторые микроэлементы). Во время варки рис теряет золотистый оттенок и становится чисто белым. Крупу обычно используют для приготовления каш, плова, овощных супов и прочих вкусных блюд. Такой гарнир хорошо сочетается с жаренной рыбой, запеченным в духовке мясом и свежими овощами.",https://images-foodtech.magnit.ru/TQgB5XAY1dz6tnyK2kIs3-lELFaaROumcqRvTJbJ30s/rs:fit:1600:1600/plain/s3://img-dostavka/uf/bdc/bdc4dd4977ee4fe76f80211dbb9e3ac9/e373a82dbe5a728db6e6538c7d777fca.jpeg@webp,4.7,159.99,bakaleya_sousy
Рис Националь Бальдо среднезерный,800г,340,6.5,0.5,78.0,Рис,Националь,Ангстрем,1000240820,Крупа рисовая шлифованная,"Рис особого сорта считается самым крупным из среднезёрных и универсальным в готовке — он подойдёт для плова и ризотто, для европейских и азиатских блюд. Зёрна сохраняют свою форму при варке и обладают оригинальным насыщенным вкусом. Рецепт риса с миндалём на упаковке заслуживает внимания.",https://images-foodtech.magnit.ru/XchgOfuv4iJ7uRr2citR0bS1bOicV1bVhRpOjwcN4fI/rs:fit:1600:1600/plain/s3://img-dostavka/uf/143/143bac54436a75c174e504e573790e08/676b8bb272cd7ea383821c285da927ed.jpeg@webp,4.8,139.99,bakaleya_sousy
Соус томатный Heinz Баффало острый,200г,140,1.0,1.5,30.0,Соус,Heinz,Петропродукт,1000476095,"Вода, сахар, паста томатная, уксус натуральный, крахмал кукурузный или загуститель - дикрахмаладипат ацетилированный, соль, масло подсолнечное рафинированное дезодорированное, ароматизатор натуральный (содержит лактозу), регулятор кислотности - кислота лимонная, перец кайенский, загуститель - камедь ксантановая, базилик, орегано, перец халапеньо зелёный, перец чёрный","Томатный соус с острым характером. В его составе три вида перца: кайенский, халапеньо и чёрный. Они дарят соусу обжигающую остроту, а базилик и орегано дополняют пикантный вкус свежими нотками. Соус идеально подходит к мясу, птице, пасте и овощам.",https://images-foodtech.magnit.ru/juGQApM9DOgL6wyMAFhy0TJS0iILe9u2mtw4rfqQgPo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/298/298ba8e525f07b7971853ecff08e2dcd/d457ebc37d3a3186e1f92a8da295c409.jpeg@webp,4.7,114.9,bakaleya_sousy
Макароны Gusto Di Roma Fusilli Спирали,450г,340,11.5,1.0,72.0,Макаронные изделия фигурные,Gusto di Roma,Кубанский ХК,1000299642,"Мука из твердой пшеницы высшего сорта, вода питьевая","Паста Gusto di Roma изготавливается по классическим итальянским технологиям исключительно из твёрдых сортов пшеницы. Благодаря этому спагетти не слипаются при варке, идеально сохраняют форму и аппетитно смотрятся на тарелке.",https://images-foodtech.magnit.ru/ImQ6GlprvtpzpombXubJsogVv92z3QZSMhMQ-n2_Lhc/rs:fit:1600:1600/plain/s3://img-dostavka/uf/da3/da3c9bfbaac4006183f4a80c9082391c/bf59142957749d2587e1a5b0bd4a5f9e.jpeg@webp,4.8,64.99,bakaleya_sousy
Рис Мистраль Ориент длиннозерный,900г,355,7.0,0.5,78.5,Рис,Мистраль,Мистраль,1000114186,Рис белый длиннозерный,"Рис Мистраль Ориент длиннозерный 900г идеально подойдет для приготовления рассыпчатого гарнира или плова. Ориент проходит несколько стадий очистки и отбора зерна одинаковой формы и размера, так что готовое блюдо будет выглядеть идеально. Рис содержит в себе массу полезных компонентов: белка, витаминов и минералов, клетчатку. К тому же крупа относится к медленным углеводам, поев которые, вы будете долго ощущать сытость.",https://images-foodtech.magnit.ru/j8GSoih0Bi5MJic6xYuN2DI4-aGMCxNkyr1kqic6gwA/rs:fit:1600:1600/plain/s3://img-dostavka/uf/3a6/3a67a161d4bc58dc95e4594b1f7d3e0a/25aee8b5bb5366e284c4894dd15f8d8d.png@webp,4.6,209.99,bakaleya_sousy
Хлопья Увелка 5-ти зерновые тонкие,350г,360,11.0,2.0,75.0,Хлопья мультизлаковые,Увелка,Ресурс,1000150233,"Смесь хлопьев овсяных из целой крупы, пшеничных из резаной крупы, ячменных из резаной крупы, пшенных из целой крупы, ржаных из резаной крупы","Хлопья Увелка 5-ти зерновые тонкие 350г — настоящее комбо для здоровья, так как в составе содержатся только отборные цельные культуры хлопьев овсяных, пшеничных, ячменных, ржаных, пшенных. Сочетание пользы и вкуса дает огромный заряд энергии. Яркий дизайн упаковки отлично впишется в интерьер кухни, а небольшой объем даст возможность хранить упаковку даже на самой маленькой полке. Картонная коробка при большой влажности воздуха не позволит продукту размокнуть. А удобный открывающийся и закрывающийся клапан сбоку поможет регулировать количество высыпаемых хлопьев. Срок годности продукта — 273 дня. Рекомендуется хранить в сухом месте.",https://images-foodtech.magnit.ru/WKvljXo39WrWeq6T6lLDRUrruoTyQZa_7Dc0auaujvM/rs:fit:1600:1600/plain/s3://img-dostavka/uf/7a4/7a4b86e0d2a094af09298e5c48505eb9/0a12ec4ed14c0ede8a05a017e350b6ca.png@webp,4.8,72.99,bakaleya_sousy
Каша Магнит овсяная Клубника/Абрикос со сливочным вкусом 41г в ассортименте,,,,,,Каша овсяная,Магнит,ТД-Холдинг,1000026173,"Вкусный и питательный завтрак, который готовится за 5 минут. В составе каши овсяные хлопья, не требующие варки, и кусочки клубники или абрикоса в ассортименте. Удобный формат упаковки на одну порцию.","Вкусный и питательный завтрак, который готовится за 5 минут. В составе каши овсяные хлопья, не требующие варки, и кусочки клубники или абрикоса в ассортименте. Удобный формат упаковки на одну порцию.",https://images-foodtech.magnit.ru/hig0D4ZijyQHrGZ-oWrxYrcgfPdAAtLEtF4q2hbAq5c/rs:fit:1600:1600/plain/s3://img-dostavka/uf/e83/e83f6059092ce4cbe8d45b1efe75fc48/c7ba2cfbd7a8057a78405356d16e7f40.jpeg@webp,4.7,15.99,bakaleya_sousy
Нектар Мой яблоко-банан с мякотью с 12 месяцев,125мл,48,,,12.0,Нектар,Мой,Сады Придонья,1000533528,"Яблочный сок, банановое пюре, сахар, регулятор кислотности лимонная кислота, вода. Изготовлен из концентрированных сока и пюре",,https://images-foodtech.magnit.ru/in2xWov0qkuSE0RQpgxyB4lBqEqR_mqwTjBTIY5RNZ0/rs:fit:1600:1600/plain/s3://img-dostavka/uf/17a/17a35d02e098f71219d55027557f7b5b/4d0d2369edbae27cfff6a1ac70ab6a53.png@webp,4.8,14.99,bakaleya_sousy
Сахар Чайкофский фигурный,500г,400,,,100.0,Сахар кусковой,Чайкофский,Русагро-Сахар,1000057976,Сахар белый кусковой категории экстра,Фигурный сахар изготовлен из натурального сырья категории «экстра». Он добавит нотки изысканности к чаепитию и придаст чаю уникальный вкус и стиль.,https://images-foodtech.magnit.ru/J2WjIYPEY4DXjFNdf11ERpsCxIot4tEGiTtVYAqb2wU/rs:fit:1600:1600/plain/s3://img-dostavka/uf/19e/19edc2847514ce3331ee5abcd468704c/d125dc46d150d4e967b5b39ece200762.png@webp,4.6,83.99,bakaleya_sousy
Приправа Индана Чесночный перец,15г,230,3.0,11.0,41.0,Перец чесночный,Индана,Русская Бакалейная Компания,1000447827,"Соль морская пищевая, овощи сушеные (чеснок, лук репчатый), пряности (перец черный, паприка красная, горчица, перец белый), сахар-песок, зелень (петрушка, базилик)","В составе приправы только натуральные ингредиенты: чеснок, чёрный перец, петрушка, базилик и паприка, а также немного соли.",https://images-foodtech.magnit.ru/j8hst3bNdbXJtkWXe7QsUoaS_TcCWSNsaNTwO_uOW2s/rs:fit:1600:1600/plain/s3://img-dostavka/uf/7f8/7f83febd2d9cb7f9534380535527d97a/0b9af57119270edc2c153f0199fa7d72.jpeg@webp,4.9,37.99,bakaleya_sousy
Приправа Maggi Зажарка c луком и морковью,60г,260,4.1,4.7,44.0,Смесь приправ,Maggi,Нестле,2400014996,"Овощи сушеные (морковь, лук репчатый, паприка), соль йодированная (соль, йодат калия), сахар, масло подсолнечное, специи молотые (куркума, перец черный), кукурузный соус (крахмал кукурузный, соль), регулятор кислотности (лимонная кислота). Продукт может содержать глютен (из злаков), молоко, сельдерей","Смесь сушёных овощей с морковью, луком и паприкой для первых и вторых блюд. Придаёт еде домашний вкус и аппетитный аромат. Не требует добавления соли. Рецепт приготовления — на обороте упаковки.",https://images-foodtech.magnit.ru/u5UDtU7KIH__E0P6nud2GuBCvRS2Rt3PQHryxNvbeUM/rs:fit:1600:1600/plain/s3://img-dostavka/uf/57d/57d3394e081484864e49221b285f5537/538363e2f17ff57beb28af6ac2b81740.jpeg@webp,4.8,64.99,bakaleya_sousy
Приправа Kotanyi Смесь перцев,35г,326,11.0,6.2,48.0,Смесь перцев,Kotanyi,Kotanyi,1000206685,"Перец (67%) (черный, белый, зеленый), кориандр, паприка, чили, розовый перец может содержать следы глютеносодержащих злаков, яиц, сои, сельдерея, кунжута, орехов, молока (лактозы), горчицы","Приправа Kotanyi Смесь перцев 35г — это именно то, что вы искали, если любите готовить на гриле. Универсальная приправа, которая подходит для овощей, мяса, морепродуктов. С ней привычные блюда заиграют новыми красками вкуса, а удобная расфасовка позволяет приправе долго оставаться свежей и не терять свои вкусовые качества. 100% натуральный состав не позволяет усомниться в качестве продукции. Окрас специй натуральный, в меру яркий, вкус острый, жгучий, достаточно небольшого количества приправы для того, чтобы разнообразить вкус и добавить приятный перечный аромат любому горячему блюду или закуске. Компания Kotanyi уже много лет является производителем качественных специй.",https://images-foodtech.magnit.ru/BkXIflw3Pcjfu5BlZKzEHPuyaMOpqGoubt6SeAdQJXk/rs:fit:1600:1600/plain/s3://img-dostavka/uf/144/1446f539d876492246289bfad8fc5019/f3fc7fcaa0108a72536621be7a719a68.jpeg@webp,4.9,209.99,bakaleya_sousy
Хлопья Ясно солнышко пшенные,375г,400,8.0,8.0,73.0,Хлопья пшенные,Ясно Солнышко,Петербургский МК,1000247659,Хлопья пшенные требующие варки,"Источник энергии и пользы для организма. Отличный вариант как для вкусного и сытного завтрака, так и для аппетитного гарнира. Хлопья сохраняют естественный аромат и светло-жёлтый цвет злака.",https://images-foodtech.magnit.ru/weKpdNDr3BCB786CjkXVnvSSW-jroR9hs_DfachBwxM/rs:fit:1600:1600/plain/s3://img-dostavka/uf/3c2/3c20062618d373bed566ca60a835a5e4/0691eea42c2d49fb765d2ffcc22d4399.jpeg@webp,4.8,102.99,bakaleya_sousy
Картофельное пюре Роллтон с жареным луком,240г,377,10.5,3.8,75.3,Пюре картофельное,Роллтон,Mareven Food,1000315469,"Хлопья картофельные, заменитель сухих сливок на растительной основе (жир растительный, сироп глюкозный, белок молока, эмульгатор Е471), гренки пшеничные (мука пшеничная высшего сорта, масло растительное, соль, дрожжи), лук репчатый жареный, соль, молоко сухое, усилители вкуса и аромата (глутамат, гуанилат и инозинат натрия), сахар, петрушка, лук зеленый, чеснок - сушеные, куркума, ароматизатор (говядина), антиокислитель Е223","Из сухой смеси получается 8 готовых порций горячего гарнира. В состав продукта входят картофельные хлопья, сливки, соль и обжаренный репчатый лук.",https://images-foodtech.magnit.ru/Wvu35MbyWyttekauApP0N0S-gYMKRrnc_Nevfcaa4OI/rs:fit:1600:1600/plain/s3://img-dostavka/uf/2dd/2ddc9d286d881b13ca3cc0781d82e6e9/60a4a5e6f84d04abfd7fef2307807321.jpeg@webp,4.8,139.99,bakaleya_sousy
Масло авокадо Befresh Нерафинированное,250мл,810,,90.0,,Масло авокадо,Befresh,Бифреш,1000383587,Нерафинированное масло авокадо,"Масло авокадо Befresh Нерафинированное 250мл — уникальный продукт, который можно использовать в изготовлении блюд и косметических средствах. Имеет красивый зеленый цвет, тонкий вкус и аромат. Обладает низкой кислотностью и поэтому помогает снижать вредный холестерин и повышать хороший. Имеет антиоксиданты, которые защищают организм от вредных воздействий окружающей среды, повышает иммунитет и нормализует работу внутренних органов. Содержащийся в нем витамин Е способствует омоложению клеток и снижает риск сердечно-сосудистых заболеваний.",https://images-foodtech.magnit.ru/JeqXxfogK5_jCk-w5DU7FHolPbKxk2SQzhn3wpaEJ64/rs:fit:1600:1600/plain/s3://img-dostavka/uf/830/8309839f0e096d412e47914a2e4d5b41/80b55c02d230e20987cb6ca7c4390334.jpeg@webp,4.6,699.99,bakaleya_sousy
Приправа Maggi Томат Базилик Чеснок,20г,302,10.0,4.4,50.0,Смесь приправ,Maggi,Нестле,1000471692,"Овощи и травы сушеные (томат, базилик, чеснок, кориандр, орегано), соль йодированная (соль, йодат калия), подсолнечное масло. Продукт может содержать молоко, глютен (из злаков), сельдерей","Сбалансированная композиция из сушёных овощей и трав с солью и подсолнечным маслом. Основной ингредиент — спелые томаты. Они бережно высушены и измельчены в хлопья. Чеснок, базилик и другие травы придают приправе пикантный средиземноморский характер.",https://images-foodtech.magnit.ru/VoX4d9g_zE26zi9kL-1r0E5scaPEfBA2IbiUF4JEMFs/rs:fit:1600:1600/plain/s3://img-dostavka/uf/48f/48f1bced0a0cb8e5fe9c4cecd588ce05/39bcfe2dac787e6efe17c9fd7235dcaf.png@webp,4.9,64.99,bakaleya_sousy
Томатная паста Помидорка,250мл,85,3.5,,13.9,Томатная паста,Помидорка,Десан,2299999940,Томатная паста,"Томатная паста обладает насыщенным кисло-сладким вкусом, гладкой, однородной текстурой и нежным ароматом отборных свежих помидоров. Без консервантов и красителей.",https://images-foodtech.magnit.ru/viN8iQljtb3XyfNVSOCD4RiFMRR8KzHpCCT6sPg6vrY/rs:fit:1600:1600/plain/s3://img-dostavka/uf/9bf/9bfb2e4ee191b20a890cfd1b9290d3f2/7da12b3a9804b177d569731805070bf5.jpeg@webp,4.8,146.99,bakaleya_sousy
Томатная паста Помидорка,250мл,85,3.5,,13.9,Томатная паста,Помидорка,Десан,2299999940,Томатная паста,"Томатная паста обладает насыщенным кисло-сладким вкусом, гладкой, однородной текстурой и нежным ароматом отборных свежих помидоров. Без консервантов и красителей.",https://images-foodtech.magnit.ru/viN8iQljtb3XyfNVSOCD4RiFMRR8KzHpCCT6sPg6vrY/rs:fit:1600:1600/plain/s3://img-dostavka/uf/9bf/9bfb2e4ee191b20a890cfd1b9290d3f2/7da12b3a9804b177d569731805070bf5.jpeg@webp,4.8,146.99,konservy_myed_varene
Приправа Восточный гость для корейской моркови,15г,249,,,62.3,Приправа для овощей,Восточный Гость,ТД-Холдинг,1000356997,"Соль, чеснок, перец красный, базилик, кориандр молотый, паприка красная","Приправа для моркови по-корейски на основе чеснока, кориандра и перцев. Смесь придаёт блюду узнаваемую пряную остроту и лёгкий аромат базилика. Вкус получается ярким, насыщенным, с пикантным послевкусием. Подходит для домашнего маринования свеженатёртой моркови.",https://images-foodtech.magnit.ru/2oYt7NMNA2Xn6tmrC1U-udm_eEYdCJ2nFwWUrlJAais/rs:fit:1600:1600/plain/s3://img-dostavka/uf/a79/a79172fe4158c4d05c0a32dfc5d531aa/e4a186a23b802a97d3fc42d3377a0d2e.jpeg@webp,4.8,29.99,bakaleya_sousy
Горчичный порошок Моя цена,400г,306,39.0,14.0,7.1,Горчица,Моя цена,Тандер,1000130322,Горчичный порошок,"Вкус у горчичного порошка в меру жгучий, пряный и насыщенный. Горчица мельчайшего помола и высшего качества.",https://images-foodtech.magnit.ru/LYKwsJlL8pdG2qzGW2pdyfmxKhNJnMUXyqNYuY0odCk/rs:fit:1600:1600/plain/s3://img-dostavka/uf/261/261c1019ccac997a036fc0eca5b9db3d/3fcfab845759a1e89556ef773c4bb5c1.jpeg@webp,4.7,99.99,bakaleya_sousy
Заменитель сахара Novasweet 72г 1200шт,,0,0.0,0.0,0.0,Сахарозаменитель,Novasweet,Новапродукт,7699900163,"Подсластитель – натриевая соль цикламовой кислоты, разрыхлитель – гидрокарбонат натрия (сода пищевая), подсластитель – сахарин (натриевая соль), лактоза, регулятор кислотности – винная кислота",,https://images-foodtech.magnit.ru/zEZOjCkUeR1qhxilyuJJIl7hSLxaKAGTsN9Z5hkeoaQ/rs:fit:1600:1600/plain/s3://img-dostavka/uf/216/2162f80661c28a74296d927f5dee9aff/aaa7cd3e1d629e939c28eacf7cb47bf5.jpeg@webp,4.8,209.99,bakaleya_sousy
